"symbol","date","open","high","low","close","volume","adjusted"
"VALE3",2010-01-04,50.189999,51.490002,49.799999,51.490002,2381400,26.010397
"VALE3",2010-01-05,51.540001,52.540001,51.240002,51.970001,3001800,26.252867
"VALE3",2010-01-06,52,53.369999,51.779999,53.07,2742800,26.808538
"VALE3",2010-01-07,52.509998,53.540001,52.5,53.290001,2543100,26.91967
"VALE3",2010-01-08,53.299999,54.240002,53,53.810001,2444500,27.182356
"VALE3",2010-01-11,54.599998,54.599998,53.34,53.650002,2785300,27.10153
"VALE3",2010-01-12,52.799999,53.5,52.299999,53.5,2606400,27.025755
"VALE3",2010-01-13,54.200001,54.380001,53.419998,54.16,2635700,27.359161
"VALE3",2010-01-14,54.18,54.799999,53.700001,54.150002,1593300,27.354105
"VALE3",2010-01-15,53.779999,53.990002,52.849998,53.450001,2225400,27.000498
"VALE3",2010-01-18,53.299999,54.349998,53.299999,54.200001,1109300,27.379362
"VALE3",2010-01-19,53.509998,55,53.509998,54.950001,1889000,27.75823
"VALE3",2010-01-20,53.91,54.41,53,53.450001,3131700,27.000498
"VALE3",2010-01-21,53.599998,53.599998,51.290001,51.599998,3569100,26.065964
"VALE3",2010-01-22,51.310001,51.549999,50.189999,50.509998,3474800,25.51535
"VALE3",2010-01-26,49.75,50.27,49.099998,49.490002,4364100,25.000084
"VALE3",2010-01-27,49.639999,49.639999,48.150002,48.810001,3296100,24.656586
"VALE3",2010-01-28,49.310001,49.880001,48.02,48.779999,2382800,24.64143
"VALE3",2010-01-29,49.130001,49.950001,48.509998,48.91,3402000,24.70709
"VALE3",2010-02-01,49.389999,50.549999,48.900002,50.389999,2664600,25.454729
"VALE3",2010-02-02,51.169998,51.189999,50.099998,50.389999,2521700,25.454729
"VALE3",2010-02-03,50.459999,50.610001,49.959999,50.279999,2879000,25.399158
"VALE3",2010-02-04,49.619999,49.799999,47.34,47.560001,4088600,24.025143
"VALE3",2010-02-05,47.09,47.400002,45.700001,47.16,3775100,23.823084
"VALE3",2010-02-08,47.57,48.700001,47.200001,47.5,4419400,23.994831
"VALE3",2010-02-09,48.200001,49.200001,48,48.5,4180900,24.499983
"VALE3",2010-02-10,48.75,48.900002,47.650002,48.549999,2637900,24.525242
"VALE3",2010-02-11,48.049999,49.740002,46.650002,49.689999,8213600,25.101116
"VALE3",2010-02-12,49.150002,49.849998,48.700001,49.349998,3444200,24.929363
"VALE3",2010-02-17,51.470001,51.599998,50.650002,51.299999,2908700,25.914415
"VALE3",2010-02-18,51.209999,52.169998,50.700001,52.169998,2339800,26.353895
"VALE3",2010-02-19,51.599998,52.560001,51.52,52,1529700,26.268028
"VALE3",2010-02-22,52.349998,52.5,50.939999,51,2001400,25.762867
"VALE3",2010-02-23,50.759998,50.82,49.540001,50.220001,3733900,25.368853
"VALE3",2010-02-24,50.389999,50.799999,50.009998,50.400002,2643000,25.459782
"VALE3",2010-02-25,49.689999,50.950001,49.220001,50.700001,2782600,25.611319
"VALE3",2010-02-26,50.709999,50.98,50.110001,50.450001,5725400,25.485039
"VALE3",2010-03-01,50.799999,51.279999,50.549999,50.970001,2150300,25.747721
"VALE3",2010-03-02,51.48,52.650002,51.169998,51.990002,3674200,26.26298
"VALE3",2010-03-03,52.41,53,51.880001,51.880001,2698500,26.207405
